Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked,Title,CatAge,CatFare
0.0,3,male,22.0,1,0,7.25,S,Mr,Child,Low
1.0,1,female,38.0,1,0,71.2833,C,Mrs,Senior,VeryHigh
1.0,3,female,26.0,0,0,7.925,S,Miss,YoungAdult,Medium
1.0,1,female,35.0,1,0,53.1,S,Mrs,Adult,VeryHigh
0.0,3,male,35.0,0,0,8.05,S,Mr,Adult,Medium
0.0,3,male,28.0,0,0,8.4583,Q,Mr,YoungAdult,Medium
0.0,1,male,54.0,0,0,51.8625,S,Mr,Senior,VeryHigh
0.0,3,male,2.0,3,1,21.075,S,Unique,Child,High
1.0,3,female,27.0,0,2,11.1333,S,Mrs,YoungAdult,Medium
1.0,2,female,14.0,1,0,30.0708,C,Mrs,Child,High
1.0,3,female,4.0,1,1,16.7,S,Miss,Child,High
1.0,1,female,58.0,0,0,26.55,S,Miss,Senior,High
0.0,3,male,20.0,0,0,8.05,S,Mr,Child,Medium
0.0,3,male,39.0,1,5,31.275,S,Mr,Senior,High
0.0,3,female,14.0,0,0,7.8542,S,Miss,Child,Low
1.0,2,female,55.0,0,0,16.0,S,Mrs,Senior,High
0.0,3,male,2.0,4,1,29.125,Q,Unique,Child,High
1.0,2,male,28.0,0,0,13.0,S,Mr,YoungAdult,Medium
0.0,3,female,31.0,1,0,18.0,S,Mrs,Adult,High
1.0,3,female,28.0,0,0,7.225,C,Mrs,YoungAdult,Low
0.0,2,male,35.0,0,0,26.0,S,Mr,Adult,High
1.0,2,male,34.0,0,0,13.0,S,Mr,Adult,Medium
1.0,3,female,15.0,0,0,8.0292,Q,Miss,Child,Medium
1.0,1,male,28.0,0,0,35.5,S,Mr,YoungAdult,VeryHigh
0.0,3,female,8.0,3,1,21.075,S,Miss,Child,High
1.0,3,female,38.0,1,5,31.3875,S,Mrs,Senior,VeryHigh
0.0,3,male,28.0,0,0,7.225,C,Mr,YoungAdult,Low
0.0,1,male,19.0,3,2,263.0,S,Mr,Child,VeryHigh
1.0,3,female,28.0,0,0,7.8792,Q,Miss,YoungAdult,Low
0.0,3,male,28.0,0,0,7.8958,S,Mr,YoungAdult,Low
0.0,1,male,40.0,0,0,27.7208,C,Unique,Senior,High
1.0,1,female,28.0,1,0,146.5208,C,Mrs,YoungAdult,VeryHigh
1.0,3,female,28.0,0,0,7.75,Q,Miss,YoungAdult,Low
0.0,2,male,66.0,0,0,10.5,S,Mr,Senior,Medium
0.0,1,male,28.0,1,0,82.1708,C,Mr,YoungAdult,VeryHigh
0.0,1,male,42.0,1,0,52.0,S,Mr,Senior,VeryHigh
1.0,3,male,28.0,0,0,7.2292,C,Mr,YoungAdult,Low
0.0,3,male,21.0,0,0,8.05,S,Mr,Child,Medium
0.0,3,female,18.0,2,0,18.0,S,Miss,Child,High
1.0,3,female,14.0,1,0,11.2417,C,Miss,Child,Medium
0.0,3,female,40.0,1,0,9.475,S,Mrs,Senior,Medium
0.0,2,female,27.0,1,0,21.0,S,Mrs,YoungAdult,High
0.0,3,male,28.0,0,0,7.8958,C,Mr,YoungAdult,Low
1.0,2,female,3.0,1,2,41.5792,C,Miss,Child,VeryHigh
1.0,3,female,19.0,0,0,7.8792,Q,Miss,Child,Low
0.0,3,male,28.0,0,0,8.05,S,Mr,YoungAdult,Medium
0.0,3,male,28.0,1,0,15.5,Q,Mr,YoungAdult,High
1.0,3,female,28.0,0,0,7.75,Q,Miss,YoungAdult,Low
0.0,3,male,28.0,2,0,21.6792,C,Mr,YoungAdult,High
0.0,3,female,18.0,1,0,17.8,S,Mrs,Child,High
0.0,3,male,7.0,4,1,39.6875,S,Unique,Child,VeryHigh
0.0,3,male,21.0,0,0,7.8,S,Mr,Child,Low
1.0,1,female,49.0,1,0,76.7292,C,Mrs,Senior,VeryHigh
1.0,2,female,29.0,1,0,26.0,S,Mrs,Adult,High
0.0,1,male,65.0,0,1,61.9792,C,Mr,Senior,VeryHigh
1.0,1,male,28.0,0,0,35.5,S,Mr,YoungAdult,VeryHigh
1.0,2,female,21.0,0,0,10.5,S,Miss,Child,Medium
0.0,3,male,28.5,0,0,7.2292,C,Mr,Adult,Low
1.0,2,female,5.0,1,2,27.75,S,Miss,Child,High
0.0,3,male,11.0,5,2,46.9,S,Unique,Child,VeryHigh
0.0,3,male,22.0,0,0,7.2292,C,Mr,Child,Low
1.0,1,female,38.0,0,0,80.0,,Miss,Senior,VeryHigh
0.0,1,male,45.0,1,0,83.475,S,Mr,Senior,VeryHigh
0.0,3,male,4.0,3,2,27.9,S,Unique,Child,High
0.0,1,male,28.0,0,0,27.7208,C,Mr,YoungAdult,High
1.0,3,male,28.0,1,1,15.2458,C,Unique,YoungAdult,High
1.0,2,female,29.0,0,0,10.5,S,Mrs,Adult,Medium
0.0,3,male,19.0,0,0,8.1583,S,Mr,Child,Medium
1.0,3,female,17.0,4,2,7.925,S,Miss,Child,Medium
0.0,3,male,26.0,2,0,8.6625,S,Mr,YoungAdult,Medium
0.0,2,male,32.0,0,0,10.5,S,Mr,Adult,Medium
0.0,3,female,16.0,5,2,46.9,S,Miss,Child,VeryHigh
0.0,2,male,21.0,0,0,73.5,S,Mr,Child,VeryHigh
0.0,3,male,26.0,1,0,14.4542,C,Mr,YoungAdult,Medium
1.0,3,male,32.0,0,0,56.4958,S,Mr,Adult,VeryHigh
0.0,3,male,25.0,0,0,7.65,S,Mr,YoungAdult,Low
0.0,3,male,28.0,0,0,7.8958,S,Mr,YoungAdult,Low
0.0,3,male,28.0,0,0,8.05,S,Mr,YoungAdult,Medium
1.0,2,male,0.83,0,2,29.0,S,Unique,Child,High
1.0,3,female,30.0,0,0,12.475,S,Miss,Adult,Medium
0.0,3,male,22.0,0,0,9.0,S,Mr,Child,Medium
1.0,3,male,29.0,0,0,9.5,S,Mr,Adult,Medium
1.0,3,female,28.0,0,0,7.7875,Q,Miss,YoungAdult,Low
0.0,1,male,28.0,0,0,47.1,S,Mr,YoungAdult,VeryHigh
1.0,2,female,17.0,0,0,10.5,S,Miss,Child,Medium
1.0,3,female,33.0,3,0,15.85,S,Mrs,Adult,High
0.0,3,male,16.0,1,3,34.375,S,Mr,Child,VeryHigh
0.0,3,male,28.0,0,0,8.05,S,Mr,YoungAdult,Medium
1.0,1,female,23.0,3,2,263.0,S,Miss,YoungAdult,VeryHigh
0.0,3,male,24.0,0,0,8.05,S,Mr,YoungAdult,Medium
0.0,3,male,29.0,0,0,8.05,S,Mr,Adult,Medium
0.0,3,male,20.0,0,0,7.8542,S,Mr,Child,Low
0.0,1,male,46.0,1,0,61.175,S,Mr,Senior,VeryHigh
0.0,3,male,26.0,1,2,20.575,S,Mr,YoungAdult,High
0.0,3,male,59.0,0,0,7.25,S,Mr,Senior,Low
0.0,3,male,28.0,0,0,8.05,S,Mr,YoungAdult,Medium
0.0,1,male,71.0,0,0,34.6542,C,Mr,Senior,VeryHigh
1.0,1,male,23.0,0,1,63.3583,C,Mr,YoungAdult,VeryHigh
1.0,2,female,34.0,0,1,23.0,S,Mrs,Adult,High
0.0,2,male,34.0,1,0,26.0,S,Mr,Adult,High
0.0,3,female,28.0,0,0,7.8958,S,Miss,YoungAdult,Low
0.0,3,male,28.0,0,0,7.8958,S,Mr,YoungAdult,Low
0.0,1,male,21.0,0,1,77.2875,S,Mr,Child,VeryHigh
0.0,3,male,33.0,0,0,8.6542,S,Mr,Adult,Medium
0.0,3,male,37.0,2,0,7.925,S,Mr,Senior,Medium
0.0,3,male,28.0,0,0,7.8958,S,Mr,YoungAdult,Low
1.0,3,female,21.0,0,0,7.65,S,Miss,Child,Low
1.0,3,male,28.0,0,0,7.775,S,Mr,YoungAdult,Low
0.0,3,male,38.0,0,0,7.8958,S,Mr,Senior,Low
1.0,3,female,28.0,1,0,24.15,Q,Miss,YoungAdult,High
0.0,1,male,47.0,0,0,52.0,S,Mr,Senior,VeryHigh
0.0,3,female,14.5,1,0,14.4542,C,Miss,Child,Medium
0.0,3,male,22.0,0,0,8.05,S,Mr,Child,Medium
0.0,3,female,20.0,1,0,9.825,S,Miss,Child,Medium
0.0,3,female,17.0,0,0,14.4583,C,Miss,Child,High
0.0,3,male,21.0,0,0,7.925,S,Mr,Child,Medium
0.0,3,male,70.5,0,0,7.75,Q,Mr,Senior,Low
0.0,2,male,29.0,1,0,21.0,S,Mr,Adult,High
0.0,1,male,24.0,0,1,247.5208,C,Mr,YoungAdult,VeryHigh
0.0,3,female,2.0,4,2,31.275,S,Miss,Child,High
0.0,2,male,21.0,2,0,73.5,S,Mr,Child,VeryHigh
0.0,3,male,28.0,0,0,8.05,S,Mr,YoungAdult,Medium
0.0,2,male,32.5,1,0,30.0708,C,Mr,Adult,High
1.0,2,female,32.5,0,0,13.0,S,Miss,Adult,Medium
0.0,1,male,54.0,0,1,77.2875,S,Mr,Senior,VeryHigh
1.0,3,male,12.0,1,0,11.2417,C,Unique,Child,Medium
0.0,3,male,28.0,0,0,7.75,Q,Mr,YoungAdult,Low
1.0,3,male,24.0,0,0,7.1417,S,Mr,YoungAdult,Low
1.0,3,female,28.0,1,1,22.3583,C,Miss,YoungAdult,High
0.0,3,male,45.0,0,0,6.975,S,Mr,Senior,Low
0.0,3,male,33.0,0,0,7.8958,C,Mr,Adult,Low
0.0,3,male,20.0,0,0,7.05,S,Mr,Child,Low
0.0,3,female,47.0,1,0,14.5,S,Mrs,Senior,High
1.0,2,female,29.0,1,0,26.0,S,Mrs,Adult,High
0.0,2,male,25.0,0,0,13.0,S,Mr,YoungAdult,Medium
0.0,2,male,23.0,0,0,15.0458,C,Mr,YoungAdult,High
1.0,1,female,19.0,0,2,26.2833,S,Miss,Child,High
0.0,1,male,37.0,1,0,53.1,S,Mr,Senior,VeryHigh
0.0,3,male,16.0,0,0,9.2167,S,Mr,Child,Medium
0.0,1,male,24.0,0,0,79.2,C,Mr,YoungAdult,VeryHigh
0.0,3,female,28.0,0,2,15.2458,C,Mrs,YoungAdult,High
1.0,3,female,22.0,0,0,7.75,S,Miss,Child,Low
1.0,3,female,24.0,1,0,15.85,S,Mrs,YoungAdult,High
0.0,3,male,19.0,0,0,6.75,Q,Mr,Child,Low
0.0,2,male,18.0,0,0,11.5,S,Mr,Child,Medium
0.0,2,male,19.0,1,1,36.75,S,Mr,Child,VeryHigh
1.0,3,male,27.0,0,0,7.7958,S,Mr,YoungAdult,Low
0.0,3,female,9.0,2,2,34.375,S,Miss,Child,VeryHigh
0.0,2,male,36.5,0,2,26.0,S,Mr,Senior,High
0.0,2,male,42.0,0,0,13.0,S,Unique,Senior,Medium
0.0,2,male,51.0,0,0,12.525,S,Unique,Senior,Medium
1.0,1,female,22.0,1,0,66.6,S,Mrs,Child,VeryHigh
0.0,3,male,55.5,0,0,8.05,S,Mr,Senior,Medium
0.0,3,male,40.5,0,2,14.5,S,Mr,Senior,High
0.0,3,male,28.0,0,0,7.3125,S,Mr,YoungAdult,Low
0.0,1,male,51.0,0,1,61.3792,C,Mr,Senior,VeryHigh
1.0,3,female,16.0,0,0,7.7333,Q,Miss,Child,Low
0.0,3,male,30.0,0,0,8.05,S,Mr,Adult,Medium
0.0,3,male,28.0,0,0,8.6625,S,Mr,YoungAdult,Medium
0.0,3,male,28.0,8,2,69.55,S,Unique,YoungAdult,VeryHigh
0.0,3,male,44.0,0,1,16.1,S,Mr,Senior,High
1.0,2,female,40.0,0,0,15.75,S,Mrs,Senior,High
0.0,3,male,26.0,0,0,7.775,S,Mr,YoungAdult,Low
0.0,3,male,17.0,0,0,8.6625,S,Mr,Child,Medium
0.0,3,male,1.0,4,1,39.6875,S,Unique,Child,VeryHigh
1.0,3,male,9.0,0,2,20.525,S,Unique,Child,High
1.0,1,female,28.0,0,1,55.0,S,Mrs,YoungAdult,VeryHigh
0.0,3,female,45.0,1,4,27.9,S,Mrs,Senior,High
0.0,1,male,28.0,0,0,25.925,S,Mr,YoungAdult,High
0.0,3,male,28.0,0,0,56.4958,S,Mr,YoungAdult,VeryHigh
0.0,1,male,61.0,0,0,33.5,S,Mr,Senior,VeryHigh
0.0,3,male,4.0,4,1,29.125,Q,Unique,Child,High
1.0,3,female,1.0,1,1,11.1333,S,Miss,Child,Medium
0.0,3,male,21.0,0,0,7.925,S,Mr,Child,Medium
0.0,1,male,56.0,0,0,30.6958,C,Mr,Senior,High
0.0,3,male,18.0,1,1,7.8542,S,Mr,Child,Low
0.0,3,male,28.0,3,1,25.4667,S,Unique,YoungAdult,High
0.0,1,female,50.0,0,0,28.7125,C,Miss,Senior,High
0.0,2,male,30.0,0,0,13.0,S,Mr,Adult,Medium
0.0,3,male,36.0,0,0,0.0,S,Mr,Senior,Low
0.0,3,female,28.0,8,2,69.55,S,Miss,YoungAdult,VeryHigh
0.0,2,male,28.0,0,0,15.05,C,Mr,YoungAdult,High
0.0,3,male,9.0,4,2,31.3875,S,Unique,Child,VeryHigh
1.0,2,male,1.0,2,1,39.0,S,Unique,Child,VeryHigh
1.0,3,female,4.0,0,2,22.025,S,Miss,Child,High
0.0,1,male,28.0,0,0,50.0,S,Mr,YoungAdult,VeryHigh
1.0,3,female,28.0,1,0,15.5,Q,Mrs,YoungAdult,High
1.0,1,male,45.0,0,0,26.55,S,Mr,Senior,High
0.0,3,male,40.0,1,1,15.5,Q,Mr,Senior,High
0.0,3,male,36.0,0,0,7.8958,S,Mr,Senior,Low
1.0,2,female,32.0,0,0,13.0,S,Mrs,Adult,Medium
0.0,2,male,19.0,0,0,13.0,S,Mr,Child,Medium
1.0,3,female,19.0,1,0,7.8542,S,Miss,Child,Low
1.0,2,male,3.0,1,1,26.0,S,Unique,Child,High
1.0,1,female,44.0,0,0,27.7208,C,Mrs,Senior,High
1.0,1,female,58.0,0,0,146.5208,C,Miss,Senior,VeryHigh
0.0,3,male,28.0,0,0,7.75,Q,Mr,YoungAdult,Low
0.0,3,male,42.0,0,1,8.4042,S,Mr,Senior,Medium
1.0,3,female,28.0,0,0,7.75,Q,Miss,YoungAdult,Low
0.0,2,female,24.0,0,0,13.0,S,Miss,YoungAdult,Medium
0.0,3,male,28.0,0,0,9.5,S,Mr,YoungAdult,Medium
0.0,3,male,28.0,8,2,69.55,S,Mr,YoungAdult,VeryHigh
0.0,3,male,34.0,0,0,6.4958,S,Mr,Adult,Low
0.0,3,male,45.5,0,0,7.225,C,Mr,Senior,Low
1.0,3,male,18.0,0,0,8.05,S,Mr,Child,Medium
0.0,3,female,2.0,0,1,10.4625,S,Miss,Child,Medium
0.0,3,male,32.0,1,0,15.85,S,Mr,Adult,High
1.0,3,male,26.0,0,0,18.7875,C,Mr,YoungAdult,High
1.0,3,female,16.0,0,0,7.75,Q,Miss,Child,Low
1.0,1,male,40.0,0,0,31.0,C,Mr,Senior,High
0.0,3,male,24.0,0,0,7.05,S,Mr,YoungAdult,Low
1.0,2,female,35.0,0,0,21.0,S,Miss,Adult,High
0.0,3,male,22.0,0,0,7.25,S,Mr,Child,Low
0.0,2,male,30.0,0,0,13.0,S,Mr,Adult,Medium
0.0,3,male,28.0,1,0,7.75,Q,Mr,YoungAdult,Low
1.0,1,female,31.0,1,0,113.275,C,Miss,Adult,VeryHigh
1.0,3,female,27.0,0,0,7.925,S,Miss,YoungAdult,Medium
0.0,2,male,42.0,1,0,27.0,S,Mr,Senior,High
1.0,1,female,32.0,0,0,76.2917,C,Miss,Adult,VeryHigh
0.0,2,male,30.0,0,0,10.5,S,Mr,Adult,Medium
1.0,3,male,16.0,0,0,8.05,S,Mr,Child,Medium
0.0,2,male,27.0,0,0,13.0,S,Mr,YoungAdult,Medium
0.0,3,male,51.0,0,0,8.05,S,Mr,Senior,Medium
0.0,3,male,28.0,0,0,7.8958,S,Mr,YoungAdult,Low
1.0,1,male,38.0,1,0,90.0,S,Mr,Senior,VeryHigh
0.0,3,male,22.0,0,0,9.35,S,Mr,Child,Medium
1.0,2,male,19.0,0,0,10.5,S,Mr,Child,Medium
0.0,3,male,20.5,0,0,7.25,S,Mr,Child,Low
0.0,2,male,18.0,0,0,13.0,S,Mr,Child,Medium
0.0,3,female,28.0,3,1,25.4667,S,Miss,YoungAdult,High
1.0,1,female,35.0,1,0,83.475,S,Mrs,Adult,VeryHigh
0.0,3,male,29.0,0,0,7.775,S,Mr,Adult,Low
0.0,2,male,59.0,0,0,13.5,S,Mr,Senior,Medium
1.0,3,female,5.0,4,2,31.3875,S,Miss,Child,VeryHigh
0.0,2,male,24.0,0,0,10.5,S,Mr,YoungAdult,Medium
0.0,3,female,28.0,0,0,7.55,S,Miss,YoungAdult,Low
0.0,2,male,44.0,1,0,26.0,S,Mr,Senior,High
1.0,2,female,8.0,0,2,26.25,S,Miss,Child,High
0.0,2,male,19.0,0,0,10.5,S,Mr,Child,Medium
0.0,2,male,33.0,0,0,12.275,S,Mr,Adult,Medium
0.0,3,female,28.0,1,0,14.4542,C,Miss,YoungAdult,Medium
1.0,3,female,28.0,1,0,15.5,Q,Miss,YoungAdult,High
0.0,2,male,29.0,0,0,10.5,S,Mr,Adult,Medium
0.0,3,male,22.0,0,0,7.125,S,Mr,Child,Low
0.0,3,male,30.0,0,0,7.225,C,Mr,Adult,Low
0.0,1,male,44.0,2,0,90.0,Q,Unique,Senior,VeryHigh
0.0,3,female,25.0,0,0,7.775,S,Miss,YoungAdult,Low
1.0,2,female,24.0,0,2,14.5,S,Mrs,YoungAdult,High
1.0,1,male,37.0,1,1,52.5542,S,Mr,Senior,VeryHigh
0.0,2,male,54.0,1,0,26.0,S,Unique,Senior,High
0.0,3,male,28.0,0,0,7.25,S,Mr,YoungAdult,Low
0.0,3,female,29.0,1,1,10.4625,S,Mrs,Adult,Medium
0.0,1,male,62.0,0,0,26.55,S,Mr,Senior,High
0.0,3,male,30.0,1,0,16.1,S,Mr,Adult,High
0.0,3,female,41.0,0,2,20.2125,S,Mrs,Senior,High
1.0,3,female,29.0,0,2,15.2458,C,Mrs,Adult,High
1.0,1,female,28.0,0,0,79.2,C,Mrs,YoungAdult,VeryHigh
1.0,1,female,30.0,0,0,86.5,S,Miss,Adult,VeryHigh
1.0,1,female,35.0,0,0,512.3292,C,Miss,Adult,VeryHigh
1.0,2,female,50.0,0,1,26.0,S,Mrs,Senior,High
0.0,3,male,28.0,0,0,7.75,Q,Mr,YoungAdult,Low
1.0,3,male,3.0,4,2,31.3875,S,Unique,Child,VeryHigh
0.0,1,male,52.0,1,1,79.65,S,Mr,Senior,VeryHigh
0.0,1,male,40.0,0,0,0.0,S,Mr,Senior,Low
0.0,3,female,28.0,0,0,7.75,Q,Miss,YoungAdult,Low
0.0,2,male,36.0,0,0,10.5,S,Mr,Senior,Medium
0.0,3,male,16.0,4,1,39.6875,S,Mr,Child,VeryHigh
1.0,3,male,25.0,1,0,7.775,S,Mr,YoungAdult,Low
1.0,1,female,58.0,0,1,153.4625,S,Mrs,Senior,VeryHigh
1.0,1,female,35.0,0,0,135.6333,S,Miss,Adult,VeryHigh
0.0,1,male,28.0,0,0,31.0,S,Mr,YoungAdult,High
1.0,3,male,25.0,0,0,0.0,S,Mr,YoungAdult,Low
1.0,2,female,41.0,0,1,19.5,S,Mrs,Senior,High
0.0,1,male,37.0,0,1,29.7,C,Mr,Senior,High
1.0,3,female,28.0,0,0,7.75,Q,Miss,YoungAdult,Low
1.0,1,female,63.0,1,0,77.9583,S,Miss,Senior,VeryHigh
0.0,3,female,45.0,0,0,7.75,S,Miss,Senior,Low
0.0,2,male,28.0,0,0,0.0,S,Mr,YoungAdult,Low
0.0,3,male,7.0,4,1,29.125,Q,Unique,Child,High
1.0,3,female,35.0,1,1,20.25,S,Mrs,Adult,High
0.0,3,male,65.0,0,0,7.75,Q,Mr,Senior,Low
0.0,3,male,28.0,0,0,7.8542,S,Mr,YoungAdult,Low
0.0,3,male,16.0,0,0,9.5,S,Mr,Child,Medium
1.0,3,male,19.0,0,0,8.05,S,Mr,Child,Medium
0.0,1,male,28.0,0,0,26.0,S,Mr,YoungAdult,High
0.0,3,male,33.0,0,0,8.6625,C,Mr,Adult,Medium
1.0,3,male,30.0,0,0,9.5,S,Mr,Adult,Medium
0.0,3,male,22.0,0,0,7.8958,S,Mr,Child,Low
1.0,2,male,42.0,0,0,13.0,S,Mr,Senior,Medium
1.0,3,female,22.0,0,0,7.75,Q,Miss,Child,Low
1.0,1,female,26.0,0,0,78.85,S,Miss,YoungAdult,VeryHigh
1.0,1,female,19.0,1,0,91.0792,C,Mrs,Child,VeryHigh
0.0,2,male,36.0,0,0,12.875,C,Mr,Senior,Medium
0.0,3,female,24.0,0,0,8.85,S,Miss,YoungAdult,Medium
0.0,3,male,24.0,0,0,7.8958,S,Mr,YoungAdult,Low
0.0,1,male,28.0,0,0,27.7208,C,Mr,YoungAdult,High
0.0,3,male,23.5,0,0,7.2292,C,Mr,YoungAdult,Low
0.0,1,female,2.0,1,2,151.55,S,Miss,Child,VeryHigh
1.0,1,male,28.0,0,0,30.5,S,Mr,YoungAdult,High
1.0,1,female,50.0,0,1,247.5208,C,Mrs,Senior,VeryHigh
1.0,3,female,28.0,0,0,7.75,Q,Miss,YoungAdult,Low
1.0,3,male,28.0,2,0,23.25,Q,Mr,YoungAdult,High
0.0,3,male,19.0,0,0,0.0,S,Mr,Child,Low
1.0,2,female,28.0,0,0,12.35,Q,Miss,YoungAdult,Medium
0.0,3,male,28.0,0,0,8.05,S,Mr,YoungAdult,Medium
1.0,1,male,0.92,1,2,151.55,S,Unique,Child,VeryHigh
1.0,1,female,28.0,0,0,110.8833,C,Miss,YoungAdult,VeryHigh
1.0,1,female,17.0,1,0,108.9,C,Mrs,Child,VeryHigh
0.0,2,male,30.0,1,0,24.0,C,Mr,Adult,High
1.0,1,female,30.0,0,0,56.9292,C,Miss,Adult,VeryHigh
1.0,1,female,24.0,0,0,83.1583,C,Miss,YoungAdult,VeryHigh
1.0,1,female,18.0,2,2,262.375,C,Miss,Child,VeryHigh
0.0,2,female,26.0,1,1,26.0,S,Mrs,YoungAdult,High
0.0,3,male,28.0,0,0,7.8958,S,Mr,YoungAdult,Low
0.0,2,male,43.0,1,1,26.25,S,Mr,Senior,High
1.0,3,female,26.0,0,0,7.8542,S,Miss,YoungAdult,Low
1.0,2,female,24.0,1,0,26.0,S,Mrs,YoungAdult,High
0.0,2,male,54.0,0,0,14.0,S,Unique,Senior,Medium
1.0,1,female,31.0,0,2,164.8667,S,Miss,Adult,VeryHigh
